track_name;artists;track_genre
imyours;jasonmraz;acoustic
bubbly;colbiecaillat;acoustic
lovesong;sarabareilles;acoustic
iwontgiveup;jasonmraz;acoustic
brave;sarabareilles;acoustic
saysomething;agreatbigworldchristinaaguilera;acoustic
likeweredying;krisallen;acoustic
collide;howieday;acoustic
theremedyiwontworry;jasonmraz;acoustic
realize;colbiecaillat;acoustic
breathe2am;annanalick;acoustic
100years;fiveforfighting;acoustic
brandnew;benrector;acoustic
ichooseyou;sarabareilles;acoustic
true;ryancabrera;pop
wordplay;jasonmraz;acoustic
iwontletyoudown;okgo;acoustic
fallinginloveatacoffeeshop;landonpigg;acoustic
shipsinthenight;matkearney;acoustic
haveitall;jasonmraz;acoustic
youarethebestthing;raylamontagne;acoustic
beok;ingridmichaelson;acoustic
ifitkillsme;jasonmraz;acoustic
try;colbiecaillat;acoustic
inevertoldyou;colbiecaillat;acoustic
supermanitsnoteasy;fiveforfighting;acoustic
fallinforyou;colbiecaillat;acoustic
faster;mattnathanson;acoustic
suddenlyisee;kttunstall;acoustic
sheislove;parachute;acoustic
boston;augustana;acoustic
girlschaseboys;ingridmichaelson;acoustic
hereitgoesagain;okgo;acoustic
thewayiam;ingridmichaelson;acoustic
lucky;jasonmrazcolbiecaillat;acoustic
brighterthanthesun;colbiecaillat;acoustic
ido;colbiecaillat;acoustic
kingofanything;sarabareilles;acoustic
comeongethigher;mattnathanson;acoustic
wintersong;sarabareillesingridmichaelson;acoustic
youmattertomefeatjasonmraz;sarabareillesjasonmraz;acoustic
iwannaloveyoualbumversionedited;akonsnoopdogg;acoustic
lockedupremix;akonstylesp;acoustic
troublemaker;akonsweetrush;acoustic
hollaholla;akontpain;acoustic
bubblyacousticversion;colbiecaillat;acoustic
nevergettingoveryou;colbiecaillat;acoustic
nevergonnaletyoudown;colbiecaillat;acoustic
yougotme;colbiecaillat;acoustic
canthelpfallinginloveatdaytrotter;ingridmichaelson;acoustic
thechain;ingridmichaelson;acoustic
